time_utc,global_in_plane_irradiance_w_m2
20200222:1430,77.75
20200222:1530,220.0
20200222:1630,399.15
20200222:1730,506.05
20200222:1830,616.51
20200222:1930,642.16
20200222:2030,580.81
20200222:2130,468.31
20200222:2230,319.9
20200222:2330,143.65
20200223:0030,17.5
20200223:0130,0.0
20200223:0230,0.0
20200223:0330,0.0
20200223:0430,0.0
20200223:0530,0.0
20200223:0630,0.0
20200223:0730,0.0
20200223:0830,0.0
20200223:0930,0.0
20200223:1030,0.0
20200223:1130,0.0
20200223:1230,0.0
20200223:1330,0.0
20200223:1430,58.8
20200223:1530,158.95
20200223:1630,276.9
20200223:1730,305.55
20200223:1830,319.05
20200223:1930,427.0
20200223:2030,477.2
20200223:2130,466.66
20200223:2230,339.61
20200223:2330,125.1
20200224:0030,14.6
20200224:0130,0.0
20200224:0230,0.0
20200224:0330,0.0
20200224:0430,0.0
20200224:0530,0.0
20200224:0630,0.0
20200224:0730,0.0
20200224:0830,0.0
20200224:0930,0.0
20200224:1030,0.0
20200224:1130,0.0
20200224:1230,0.0
20200224:1330,0.0
20200224:1430,124.25
20200224:1530,299.71
20200224:1630,403.41
20200224:1730,571.16
20200224:1830,684.66
20200224:1930,712.61
20200224:2030,659.56
20200224:2130,539.16
20200224:2230,397.61
20200224:2330,168.85
20200225:0030,17.55
20200225:0130,0.0
20200225:0230,0.0
20200225:0330,0.0
20200225:0430,0.0
20200225:0530,0.0
20200225:0630,0.0
20200225:0730,0.0
20200225:0830,0.0
20200225:0930,0.0
20200225:1030,0.0
20200225:1130,0.0
20200225:1230,0.0
20200225:1330,0.0
20200225:1430,96.0
20200225:1530,196.15
20200225:1630,308.0
20200225:1730,500.36
20200225:1830,500.3
20200225:1930,505.65
20200225:2030,518.8
20200225:2130,468.96
20200225:2230,303.6
20200225:2330,188.95
20200226:0030,19.8
20200226:0130,0.0
20200226:0230,0.0
20200226:0330,0.0
20200226:0430,0.0
20200226:0530,0.0
20200226:0630,0.0
20200226:0730,0.0
20200226:0830,0.0
20200226:0930,0.0
20200226:1030,0.0
20200226:1130,0.0
20200226:1230,0.0
20200226:1330,0.0
20200226:1430,138.95
20200226:1530,351.46
20200226:1630,541.31
20200226:1730,683.56
20200226:1830,762.36
20200226:1930,775.91
20200226:2030,717.66
20200226:2130,459.01
20200226:2230,330.56
20200226:2330,166.4
20200227:0030,14.1
20200227:0130,0.0
20200227:0230,0.0
20200227:0330,0.0
20200227:0430,0.0
20200227:0530,0.0
20200227:0630,0.0
20200227:0730,0.0
20200227:0830,0.0
20200227:0930,0.0
20200227:1030,0.0
20200227:1130,0.0
20200227:1230,0.0
20200227:1330,0.0
20200227:1430,137.15
20200227:1530,351.81
20200227:1630,541.36
20200227:1730,686.36
20200227:1830,739.36
20200227:1930,767.71
20200227:2030,716.36
20200227:2130,605.36
20200227:2230,418.71
20200227:2330,218.41
20200228:0030,17.45
20200228:0130,0.0
20200228:0230,0.0
20200228:0330,0.0
20200228:0430,0.0
20200228:0530,0.0
20200228:0630,0.0
20200228:0730,0.0
20200228:0830,0.0
20200228:0930,0.0
20200228:1030,0.0
20200228:1130,0.0
20200228:1230,0.0
20200228:1330,0.0
20200228:1430,147.55
20200228:1530,359.01
20200228:1630,547.26
20200228:1730,688.41
20200228:1830,769.86
20200228:1930,783.51
20200228:2030,729.26
20200228:2130,611.26
20200228:2230,440.51
20200228:2330,235.46
20200229:0030,14.75
20200229:0130,0.0
20200229:0230,0.0
20200229:0330,0.0
20200229:0430,0.0
20200229:0530,0.0
20200229:0630,0.0
20200229:0730,0.0
20200229:0830,0.0
20200229:0930,0.0
20200229:1030,0.0
20200229:1130,0.0
20200229:1230,0.0
20200229:1330,0.0
20200229:1430,102.6
20200229:1530,273.2
20200229:1630,440.36
20200229:1730,576.51
20200229:1830,617.96
20200229:1930,572.4
20200229:2030,565.36
20200229:2130,448.9
20200229:2230,272.4
20200229:2330,156.75
20200301:0030,20.0
20200301:0130,0.0
20200301:0230,0.0
20200301:0330,0.0
20200301:0430,0.0
20200301:0530,0.0
20200301:0630,0.0
20200301:0730,0.0
20200301:0830,0.0
20200301:0930,0.0
20200301:1030,0.0
20200301:1130,0.0
20200301:1230,0.0
20200301:1330,0.0
20200301:1430,113.9
20200301:1530,327.36
20200301:1630,435.91
20200301:1730,587.81
20200301:1830,647.56
20200301:1930,646.76
20200301:2030,581.71
20200301:2130,490.86
20200301:2230,352.21
20200301:2330,154.25
20200302:0030,17.65
20200302:0130,0.0
20200302:0230,0.0
20200302:0330,0.0
20200302:0430,0.0
20200302:0530,0.0
20200302:0630,0.0
20200302:0730,0.0
20200302:0830,0.0
20200302:0930,0.0
20200302:1030,0.0
20200302:1130,0.0
20200302:1230,0.0
20200302:1330,0.0
20200302:1430,159.3
20200302:1530,369.81
20200302:1630,553.86
20200302:1730,698.26
20200302:1830,783.91
20200302:1930,800.46
20200302:2030,727.21
20200302:2130,613.16
20200302:2230,405.01
20200302:2330,229.5
20200303:0030,16.7
20200303:0130,0.0
20200303:0230,0.0
20200303:0330,0.0
20200303:0430,0.0
20200303:0530,0.0
20200303:0630,0.0
20200303:0730,0.0
20200303:0830,0.0
20200303:0930,0.0
20200303:1030,0.0
20200303:1130,0.0
20200303:1230,0.0
20200303:1330,0.0
20200303:1430,167.1
20200303:1530,379.91
20200303:1630,568.21
20200303:1730,708.06
20200303:1830,784.91
20200303:1930,796.51
20200303:2030,740.86
20200303:2130,624.66
20200303:2230,456.76
20200303:2330,252.51
20200304:0030,17.1
20200304:0130,0.0
20200304:0230,0.0
20200304:0330,0.0
20200304:0430,0.0
20200304:0530,0.0
20200304:0630,0.0
20200304:0730,0.0
20200304:0830,0.0
20200304:0930,0.0
20200304:1030,0.0
20200304:1130,0.0
20200304:1230,0.0
20200304:1330,0.0
20200304:1430,176.0
20200304:1530,392.86
20200304:1630,583.81
20200304:1730,725.31
20200304:1830,804.41
20200304:1930,815.81
20200304:2030,757.91
20200304:2130,625.51
20200304:2230,461.71
20200304:2330,254.16
20200305:0030,50.29
20200305:0130,0.0
20200305:0230,0.0
20200305:0330,0.0
20200305:0430,0.0
20200305:0530,0.0
20200305:0630,0.0
20200305:0730,0.0
20200305:0830,0.0
20200305:0930,0.0
20200305:1030,0.0
20200305:1130,0.0
20200305:1230,0.0
20200305:1330,0.0
20200305:1430,175.4
20200305:1530,387.86
20200305:1630,576.21
20200305:1730,716.56
20200305:1830,794.61
20200305:1930,805.66
20200305:2030,749.01
20200305:2130,629.41
20200305:2230,458.21
20200305:2330,254.16
20200306:0030,51.57
20200306:0130,0.0
20200306:0230,0.0
20200306:0330,0.0
20200306:0430,0.0
20200306:0530,0.0
20200306:0630,0.0
20200306:0730,0.0
20200306:0830,0.0
20200306:0930,0.0
20200306:1030,0.0
20200306:1130,0.0
20200306:1230,0.0
20200306:1330,0.0
20200306:1430,177.85
20200306:1530,366.61
20200306:1630,574.81
20200306:1730,718.61
20200306:1830,797.71
20200306:1930,810.51
20200306:2030,752.51
20200306:2130,629.86
20200306:2230,460.76
20200306:2330,257.61
20200307:0030,53.56
20200307:0130,0.0
20200307:0230,0.0
20200307:0330,0.0
20200307:0430,0.0
20200307:0530,0.0
20200307:0630,0.0
20200307:0730,0.0
20200307:0830,0.0
20200307:0930,0.0
20200307:1030,0.0
20200307:1130,0.0
20200307:1230,0.0
20200307:1330,0.0
20200307:1430,182.05
20200307:1530,393.16
20200307:1630,576.46
20200307:1730,711.56
20200307:1830,779.36
20200307:1930,784.51
20200307:2030,729.46
20200307:2130,623.21
20200307:2230,459.11
20200307:2330,258.76
20200308:0030,54.6
20200308:0130,0.0
20200308:0230,0.0
20200308:0330,0.0
20200308:0430,0.0
20200308:0530,0.0
20200308:0630,0.0
20200308:0730,0.0
20200308:0830,0.0
20200308:0930,0.0
20200308:1030,0.0
20200308:1130,0.0
20200308:1230,0.0
20200308:1330,8.3
20200308:1430,188.1
20200308:1530,395.91
20200308:1630,578.01
20200308:1730,712.26
20200308:1830,774.21
20200308:1930,799.31
20200308:2030,673.36
20200308:2130,553.36
20200308:2230,295.75
20200308:2330,199.65
20200309:0030,41.95
20200309:0130,0.0
20200309:0230,0.0
20200309:0330,0.0
20200309:0430,0.0
20200309:0530,0.0
20200309:0630,0.0
20200309:0730,0.0
20200309:0830,0.0
20200309:0930,0.0
20200309:1030,0.0
20200309:1130,0.0
20200309:1230,0.0
20200309:1330,8.75
20200309:1430,128.2
20200309:1530,275.5
20200309:1630,405.46
20200309:1730,693.71
20200309:1830,735.21
20200309:1930,750.51
20200309:2030,687.61
20200309:2130,586.71
20200309:2230,446.96
20200309:2330,237.6
20200310:0030,53.72
20200310:0130,0.0
20200310:0230,0.0
20200310:0330,0.0
20200310:0430,0.0
20200310:0530,0.0
20200310:0630,0.0
20200310:0730,0.0
20200310:0830,0.0
20200310:0930,0.0
20200310:1030,0.0
20200310:1130,0.0
20200310:1230,0.0
20200310:1330,13.4
20200310:1430,179.8
20200310:1530,380.81
20200310:1630,558.71
20200310:1730,689.96
20200310:1830,762.36
20200310:1930,684.41
20200310:2030,482.31
20200310:2130,494.56
20200310:2230,334.65
20200310:2330,238.0
20200311:0030,59.32
20200311:0130,0.0
20200311:0230,0.0
20200311:0330,0.0
20200311:0430,0.0
20200311:0530,0.0
20200311:0630,0.0
20200311:0730,0.0
20200311:0830,0.0
20200311:0930,0.0
20200311:1030,0.0
20200311:1130,0.0
20200311:1230,0.0
20200311:1330,10.5
20200311:1430,208.15
20200311:1530,411.11
20200311:1630,596.31
20200311:1730,726.26
20200311:1830,804.36
20200311:1930,819.11
20200311:2030,747.26
20200311:2130,634.26
20200311:2230,461.41
20200311:2330,252.25
20200312:0030,68.95
20200312:0130,0.0
20200312:0230,0.0
20200312:0330,0.0
20200312:0430,0.0
20200312:0530,0.0
20200312:0630,0.0
20200312:0730,0.0
20200312:0830,0.0
20200312:0930,0.0
20200312:1030,0.0
20200312:1130,0.0
20200312:1230,0.0
20200312:1330,18.45
20200312:1430,167.65
20200312:1530,346.25
20200312:1630,526.66
20200312:1730,572.01
20200312:1830,647.01
20200312:1930,499.36
20200312:2030,547.11
20200312:2130,546.26
20200312:2230,344.9
20200312:2330,201.35
20200313:0030,72.55
20200313:0130,0.0
20200313:0230,0.0
20200313:0330,0.0
20200313:0430,0.0
20200313:0530,0.0
20200313:0630,0.0
20200313:0730,0.0
20200313:0830,0.0
20200313:0930,0.0
20200313:1030,0.0
20200313:1130,0.0
20200313:1230,0.0
20200313:1330,12.35
20200313:1430,60.25
20200313:1530,217.5
20200313:1630,336.4
20200313:1730,301.1
20200313:1830,736.01
20200313:1930,662.26
20200313:2030,666.61
20200313:2130,587.71
20200313:2230,440.26
20200313:2330,236.45
20200314:0030,68.3
20200314:0130,0.0
20200314:0230,0.0
20200314:0330,0.0
20200314:0430,0.0
20200314:0530,0.0
20200314:0630,0.0
20200314:0730,0.0
20200314:0830,0.0
20200314:0930,0.0
20200314:1030,0.0
20200314:1130,0.0
20200314:1230,0.0
20200314:1330,12.75
20200314:1430,224.2
20200314:1530,436.06
20200314:1630,618.41
20200314:1730,750.11
20200314:1830,823.31
20200314:1930,819.41
20200314:2030,664.86
20200314:2130,548.86
20200314:2230,404.21
20200314:2330,266.6
20200315:0030,76.2
20200315:0130,0.0
20200315:0230,0.0
20200315:0330,0.0
20200315:0430,0.0
20200315:0530,0.0
20200315:0630,0.0
20200315:0730,0.0
20200315:0830,0.0
20200315:0930,0.0
20200315:1030,0.0
20200315:1130,0.0
20200315:1230,0.0
20200315:1330,28.73
20200315:1430,193.85
20200315:1530,392.46
20200315:1630,577.96
20200315:1730,713.81
20200315:1830,751.41
20200315:1930,724.81
20200315:2030,675.56
20200315:2130,572.46
20200315:2230,351.5
20200315:2330,242.95
20200316:0030,68.55
20200316:0130,0.0
20200316:0230,0.0
20200316:0330,0.0
20200316:0430,0.0
20200316:0530,0.0
20200316:0630,0.0
20200316:0730,0.0
20200316:0830,0.0
20200316:0930,0.0
20200316:1030,0.0
20200316:1130,0.0
20200316:1230,0.0
20200316:1330,37.57
20200316:1430,234.55
20200316:1530,444.31
20200316:1630,594.11
20200316:1730,736.11
20200316:1830,822.51
20200316:1930,816.26
20200316:2030,766.86
20200316:2130,658.01
20200316:2230,498.66
20200316:2330,291.9
20200317:0030,85.05
20200317:0130,0.0
20200317:0230,0.0
20200317:0330,0.0
20200317:0430,0.0
20200317:0530,0.0
20200317:0630,0.0
20200317:0730,0.0
20200317:0830,0.0
20200317:0930,0.0
20200317:1030,0.0
20200317:1130,0.0
20200317:1230,0.0
20200317:1330,26.26
20200317:1430,132.45
20200317:1530,341.3
20200317:1630,573.66
20200317:1730,751.11
20200317:1830,829.36
20200317:1930,780.06
20200317:2030,669.71
20200317:2130,566.41
20200317:2230,390.3
20200317:2330,246.45
20200318:0030,76.8
20200318:0130,0.0
20200318:0230,0.0
20200318:0330,0.0
20200318:0430,0.0
20200318:0530,0.0
20200318:0630,0.0
20200318:0730,0.0
20200318:0830,0.0
20200318:0930,0.0
20200318:1030,0.0
20200318:1130,0.0
20200318:1230,0.0
20200318:1330,43.96
20200318:1430,245.45
20200318:1530,455.66
20200318:1630,638.36
20200318:1730,770.36
20200318:1830,828.96
20200318:1930,762.06
20200318:2030,672.91
20200318:2130,582.21
20200318:2230,373.95
20200318:2330,182.45
20200319:0030,52.7
20200319:0130,0.0
20200319:0230,0.0
20200319:0330,0.0
20200319:0430,0.0
20200319:0530,0.0
20200319:0630,0.0
20200319:0730,0.0
20200319:0830,0.0
20200319:0930,0.0
20200319:1030,0.0
20200319:1130,0.0
20200319:1230,0.0
20200319:1330,7.73
20200319:1430,26.8
20200319:1530,48.45
20200319:1630,65.85
20200319:1730,76.65
20200319:1830,97.1
20200319:1930,129.35
20200319:2030,200.05
20200319:2130,178.05
20200319:2230,149.15
20200319:2330,128.45
20200320:0030,36.45
20200320:0130,0.0
20200320:0230,0.0
20200320:0330,0.0
20200320:0430,0.0
20200320:0530,0.0
20200320:0630,0.0
20200320:0730,0.0
20200320:0830,0.0
20200320:0930,0.0
20200320:1030,0.0
20200320:1130,0.0
20200320:1230,0.0
20200320:1330,41.23
20200320:1430,212.25
20200320:1530,448.81
20200320:1630,602.71
20200320:1730,728.66
20200320:1830,786.56
20200320:1930,673.41
20200320:2030,789.01
20200320:2130,612.41
20200320:2230,487.66
20200320:2330,245.05
20200321:0030,71.8
20200321:0130,0.0
20200321:0230,0.0
20200321:0330,0.0
20200321:0430,0.0
20200321:0530,0.0
20200321:0630,0.0
20200321:0730,0.0
20200321:0830,0.0
20200321:0930,0.0
20200321:1030,0.0
20200321:1130,0.0
20200321:1230,0.0
20200321:1330,55.84
20200321:1430,267.4
20200321:1530,482.71
20200321:1630,667.51
20200321:1730,794.91
20200321:1830,849.46
20200321:1930,839.36
20200321:2030,734.66
20200321:2130,604.71
20200321:2230,443.35
20200321:2330,185.95
20200322:0030,45.45
20200322:0130,0.0
20200322:0230,0.0
20200322:0330,0.0
20200322:0430,0.0
20200322:0530,0.0
20200322:0630,0.0
20200322:0730,0.0
20200322:0830,0.0
20200322:0930,0.0
20200322:1030,0.0
20200322:1130,0.0
20200322:1230,0.0
20200322:1330,57.3
20200322:1430,272.5
20200322:1530,469.46
20200322:1630,676.76
20200322:1730,808.66
20200322:1830,890.66
20200322:1930,909.86
20200322:2030,834.31
20200322:2130,719.26
20200322:2230,538.71
20200322:2330,327.75
20200323:0030,109.5
20200323:0130,0.0
20200323:0230,0.0
20200323:0330,0.0
20200323:0430,0.0
20200323:0530,0.0
20200323:0630,0.0
20200323:0730,0.0
20200323:0830,0.0
20200323:0930,0.0
20200323:1030,0.0
20200323:1130,0.0
20200323:1230,0.0
20200323:1330,62.39
20200323:1430,284.2
20200323:1530,502.16
20200323:1630,688.41
20200323:1730,808.36
20200323:1830,872.31
20200323:1930,864.01
20200323:2030,778.61
20200323:2130,576.65
20200323:2230,307.5
20200323:2330,206.1
20200324:0030,77.3
20200324:0130,0.0
20200324:0230,0.0
20200324:0330,0.0
20200324:0430,0.0
20200324:0530,0.0
20200324:0630,0.0
20200324:0730,0.0
20200324:0830,0.0
20200324:0930,0.0
20200324:1030,0.0
20200324:1130,0.0
20200324:1230,0.0
20200324:1330,66.48
20200324:1430,270.6
20200324:1530,483.16
20200324:1630,688.51
20200324:1730,798.96
20200324:1830,888.96
20200324:1930,907.41
20200324:2030,843.51
20200324:2130,719.86
20200324:2230,540.26
20200324:2330,332.7
20200325:0030,116.2
20200325:0130,0.0
20200325:0230,0.0
20200325:0330,0.0
20200325:0430,0.0
20200325:0530,0.0
20200325:0630,0.0
20200325:0730,0.0
20200325:0830,0.0
20200325:0930,0.0
20200325:1030,0.0
20200325:1130,0.0
20200325:1230,0.0
20200325:1330,65.97
20200325:1430,286.1
20200325:1530,500.86
20200325:1630,679.56
20200325:1730,813.71
20200325:1830,885.71
20200325:1930,876.81
20200325:2030,835.61
20200325:2130,693.46
20200325:2230,519.91
20200325:2330,309.25
20200326:0030,101.6
20200326:0130,0.0
20200326:0230,0.0
20200326:0330,0.0
20200326:0430,0.0
20200326:0530,0.0
20200326:0630,0.0
20200326:0730,0.0
20200326:0830,0.0
20200326:0930,0.0
20200326:1030,0.0
20200326:1130,0.0
20200326:1230,0.0
20200326:1330,83.65
20200326:1430,295.1
20200326:1530,504.46
20200326:1630,671.66
20200326:1730,783.61
20200326:1830,872.81
20200326:1930,873.56
20200326:2030,795.56
20200326:2130,612.61
20200326:2230,493.31
20200326:2330,322.6
20200327:0030,116.65
20200327:0130,0.0
20200327:0230,0.0
20200327:0330,0.0
20200327:0430,0.0
20200327:0530,0.0
20200327:0630,0.0
20200327:0730,0.0
20200327:0830,0.0
20200327:0930,0.0
20200327:1030,0.0
20200327:1130,0.0
20200327:1230,0.0
20200327:1330,61.2
20200327:1430,189.85
20200327:1530,282.8
20200327:1630,378.25
20200327:1730,535.51
20200327:1830,577.1
20200327:1930,512.95
20200327:2030,606.46
20200327:2130,619.96
20200327:2230,234.4
20200327:2330,211.25
20200328:0030,102.35
20200328:0130,0.0
20200328:0230,0.0
20200328:0330,0.0
20200328:0430,0.0
20200328:0530,0.0
20200328:0630,0.0
20200328:0730,0.0
20200328:0830,0.0
20200328:0930,0.0
20200328:1030,0.0
20200328:1130,0.0
20200328:1230,0.0
20200328:1330,80.4
20200328:1430,277.25
20200328:1530,527.81
20200328:1630,701.26
20200328:1730,852.56
20200328:1830,936.41
20200328:1930,940.91
20200328:2030,837.66
20200328:2130,683.71
20200328:2230,461.35
20200328:2330,318.6
20200329:0030,118.35
20200329:0130,0.0
20200329:0230,0.0
20200329:0330,0.0
20200329:0430,0.0
20200329:0530,0.0
20200329:0630,0.0
20200329:0730,0.0
20200329:0830,0.0
20200329:0930,0.0
20200329:1030,0.0
20200329:1130,0.0
20200329:1230,0.0
20200329:1330,105.75
20200329:1430,325.15
20200329:1530,541.01
20200329:1630,723.66
20200329:1730,852.06
20200329:1830,925.06
20200329:1930,922.26
20200329:2030,834.16
20200329:2130,659.66
20200329:2230,513.86
20200329:2330,293.25
20200330:0030,102.2
20200330:0130,0.0
20200330:0230,0.0
20200330:0330,0.0
20200330:0430,0.0
20200330:0530,0.0
20200330:0630,0.0
20200330:0730,0.0
20200330:0830,0.0
20200330:0930,0.0
20200330:1030,0.0
20200330:1130,0.0
20200330:1230,0.0
20200330:1330,72.25
20200330:1430,207.9
20200330:1530,359.15
20200330:1630,480.6
20200330:1730,613.65
20200330:1830,749.26
20200330:1930,773.81
20200330:2030,728.66
20200330:2130,667.51
20200330:2230,504.16
20200330:2330,278.5
20200331:0030,88.8
20200331:0130,0.0
20200331:0230,0.0
20200331:0330,0.0
20200331:0430,0.0
20200331:0530,0.0
20200331:0630,0.0
20200331:0730,0.0
20200331:0830,0.0
20200331:0930,0.0
20200331:1030,0.0
20200331:1130,0.0
20200331:1230,0.0
20200331:1330,109.0
20200331:1430,308.2
20200331:1530,535.81
20200331:1630,714.41
20200331:1730,843.21
20200331:1830,918.26
20200331:1930,906.86
20200331:2030,841.31
20200331:2130,708.76
20200331:2230,504.91
20200331:2330,351.3
20200401:0030,135.65
20200401:0130,0.0
20200401:0230,0.0
20200401:0330,0.0
20200401:0430,0.0
20200401:0530,0.0
20200401:0630,0.0
20200401:0730,0.0
20200401:0830,0.0
20200401:0930,0.0
20200401:1030,0.0
20200401:1130,0.0
20200401:1230,0.0
20200401:1330,91.25
20200401:1430,267.85
20200401:1530,468.4
20200401:1630,638.76
20200401:1730,742.51
20200401:1830,853.41
20200401:1930,840.76
20200401:2030,676.76
20200401:2130,626.26
20200401:2230,494.3
20200401:2330,283.0
20200402:0030,115.3
20200402:0130,0.0
20200402:0230,0.0
20200402:0330,0.0
20200402:0430,0.0
20200402:0530,0.0
20200402:0630,0.0
20200402:0730,0.0
20200402:0830,0.0
20200402:0930,0.0
20200402:1030,0.0
20200402:1130,0.0
20200402:1230,0.0
20200402:1330,58.75
20200402:1430,141.7
20200402:1530,213.55
20200402:1630,383.3
20200402:1730,333.15
20200402:1830,559.3
20200402:1930,697.11
20200402:2030,613.31
20200402:2130,451.1
20200402:2230,329.4
20200402:2330,168.7
20200403:0030,71.6
20200403:0130,0.0
20200403:0230,0.0
20200403:0330,0.0
20200403:0430,0.0
20200403:0530,0.0
20200403:0630,0.0
20200403:0730,0.0
20200403:0830,0.0
20200403:0930,0.0
20200403:1030,0.0
20200403:1130,0.0
20200403:1230,0.0
20200403:1330,103.25
20200403:1430,264.75
20200403:1530,480.5
20200403:1630,690.26
20200403:1730,780.31
20200403:1830,781.31
20200403:1930,726.41
20200403:2030,707.71
20200403:2130,445.15
20200403:2230,477.65
20200403:2330,299.6
20200404:0030,109.85
20200404:0130,0.0
20200404:0230,0.0
20200404:0330,0.0
20200404:0430,0.0
20200404:0530,0.0
20200404:0630,0.0
20200404:0730,0.0
20200404:0830,0.0
20200404:0930,0.0
20200404:1030,0.0
20200404:1130,0.0
20200404:1230,0.0
20200404:1330,127.7
20200404:1430,343.5
20200404:1530,555.46
20200404:1630,733.41
20200404:1730,844.61
20200404:1830,906.16
20200404:1930,907.76
20200404:2030,800.06
20200404:2130,696.51
20200404:2230,476.4
20200404:2330,286.7
20200405:0030,119.4
20200405:0130,0.0
20200405:0230,0.0
20200405:0330,0.0
20200405:0430,0.0
20200405:0530,0.0
20200405:0630,0.0
20200405:0730,0.0
20200405:0830,0.0
20200405:0930,0.0
20200405:1030,0.0
20200405:1130,0.0
20200405:1230,0.0
20200405:1330,130.25
20200405:1430,344.65
20200405:1530,518.35
20200405:1630,724.66
20200405:1730,853.86
20200405:1830,916.21
20200405:1930,754.21
20200405:2030,759.86
20200405:2130,640.46
20200405:2230,510.65
20200405:2330,316.85
20200406:0030,141.0
20200406:0130,0.0
20200406:0230,0.0
20200406:0330,0.0
20200406:0430,0.0
20200406:0530,0.0
20200406:0630,0.0
20200406:0730,0.0
20200406:0830,0.0
20200406:0930,0.0
20200406:1030,0.0
20200406:1130,0.0
20200406:1230,0.0
20200406:1330,137.8
20200406:1430,355.15
20200406:1530,567.41
20200406:1630,746.86
20200406:1730,876.06
20200406:1830,944.21
20200406:1930,946.41
20200406:2030,881.46
20200406:2130,754.36
20200406:2230,580.36
20200406:2330,371.9
20200407:0030,154.85
20200407:0130,0.0
20200407:0230,0.0
20200407:0330,0.0
20200407:0430,0.0
20200407:0530,0.0
20200407:0630,0.0
20200407:0730,0.0
20200407:0830,0.0
20200407:0930,0.0
20200407:1030,0.0
20200407:1130,0.0
20200407:1230,0.0
20200407:1330,143.75
20200407:1430,362.15
20200407:1530,573.66
20200407:1630,750.61
20200407:1730,876.91
20200407:1830,943.76
20200407:1930,944.11
20200407:2030,879.76
20200407:2130,750.26
20200407:2230,585.76
20200407:2330,377.8
20200408:0030,159.35
20200408:0130,0.0
20200408:0230,0.0
20200408:0330,0.0
20200408:0430,0.0
20200408:0530,0.0
20200408:0630,0.0
20200408:0730,0.0
20200408:0830,0.0
20200408:0930,0.0
20200408:1030,0.0
20200408:1130,0.0
20200408:1230,0.0
20200408:1330,148.25
20200408:1430,365.5
20200408:1530,574.56
20200408:1630,749.41
20200408:1730,876.31
20200408:1830,945.71
20200408:1930,848.61
20200408:2030,744.71
20200408:2130,611.66
20200408:2230,542.55
20200408:2330,375.5
20200409:0030,158.1
20200409:0130,0.0
20200409:0230,0.0
20200409:0330,0.0
20200409:0430,0.0
20200409:0530,0.0
20200409:0630,0.0
20200409:0730,0.0
20200409:0830,0.0
20200409:0930,0.0
20200409:1030,0.0
20200409:1130,0.0
20200409:1230,0.0
20200409:1330,143.5
20200409:1430,357.45
20200409:1530,571.75
20200409:1630,744.41
20200409:1730,865.61
20200409:1830,793.21
20200409:1930,674.76
20200409:2030,673.71
20200409:2130,597.75
20200409:2230,507.5
20200409:2330,304.3
20200410:0030,150.3
20200410:0130,0.0
20200410:0230,0.0
20200410:0330,0.0
20200410:0430,0.0
20200410:0530,0.0
20200410:0630,0.0
20200410:0730,0.0
20200410:0830,0.0
20200410:0930,0.0
20200410:1030,0.0
20200410:1130,0.0
20200410:1230,0.0
20200410:1330,148.25
20200410:1430,361.95
20200410:1530,570.8
20200410:1630,741.26
20200410:1730,866.66
20200410:1830,886.16
20200410:1930,879.86
20200410:2030,775.26
20200410:2130,597.26
20200410:2230,478.95
20200410:2330,291.25
20200411:0030,107.75
20200411:0130,6.15
20200411:0230,0.0
20200411:0330,0.0
20200411:0430,0.0
20200411:0530,0.0
20200411:0630,0.0
20200411:0730,0.0
20200411:0830,0.0
20200411:0930,0.0
20200411:1030,0.0
20200411:1130,0.0
20200411:1230,0.0
20200411:1330,164.8
20200411:1430,385.25
20200411:1530,596.5
20200411:1630,772.91
20200411:1730,899.91
20200411:1830,962.81
20200411:1930,928.36
20200411:2030,871.41
20200411:2130,598.01
20200411:2230,578.9
20200411:2330,377.35
20200412:0030,165.65
20200412:0130,9.15
20200412:0230,0.0
20200412:0330,0.0
20200412:0430,0.0
20200412:0530,0.0
20200412:0630,0.0
20200412:0730,0.0
20200412:0830,0.0
20200412:0930,0.0
20200412:1030,0.0
20200412:1130,0.0
20200412:1230,0.0
20200412:1330,76.55
20200412:1430,215.95
20200412:1530,388.65
20200412:1630,487.05
20200412:1730,572.75
20200412:1830,639.4
20200412:1930,688.7
20200412:2030,599.45
20200412:2130,467.45
20200412:2230,402.65
20200412:2330,174.65
20200413:0030,79.75
20200413:0130,5.9
20200413:0230,0.0
20200413:0330,0.0
20200413:0430,0.0
20200413:0530,0.0
20200413:0630,0.0
20200413:0730,0.0
20200413:0830,0.0
20200413:0930,0.0
20200413:1030,0.0
20200413:1130,0.0
20200413:1230,0.0
20200413:1330,97.8
20200413:1430,246.0
20200413:1530,379.0
20200413:1630,539.85
20200413:1730,480.4
20200413:1830,635.3
20200413:1930,469.85
20200413:2030,259.85
20200413:2130,333.95
20200413:2230,265.55
20200413:2330,131.4
20200414:0030,34.4
20200414:0130,3.8
20200414:0230,0.0
20200414:0330,0.0
20200414:0430,0.0
20200414:0530,0.0
20200414:0630,0.0
20200414:0730,0.0
20200414:0830,0.0
20200414:0930,0.0
20200414:1030,0.0
20200414:1130,0.0
20200414:1230,8.75
20200414:1330,188.85
20200414:1430,422.5
20200414:1530,642.5
20200414:1630,828.01
20200414:1730,958.76
20200414:1830,1023.66
20200414:1930,1021.31
20200414:2030,945.56
20200414:2130,814.31
20200414:2230,625.95
20200414:2330,404.7
20200415:0030,181.35
20200415:0130,9.6
20200415:0230,0.0
20200415:0330,0.0
20200415:0430,0.0
20200415:0530,0.0
20200415:0630,0.0
20200415:0730,0.0
20200415:0830,0.0
20200415:0930,0.0
20200415:1030,0.0
20200415:1130,0.0
